"section","subsection","element","Value"
"Data","Biodiversity data","Scaling","Background points were sampled from a minimum convex polygon defined as a 20 km buffer drawn around the occurrence localities."
"Data","Biodiversity data","Cleaning","We removed duplicate coordinates and spatially rarefied these points to 1 km to avoid areas of high spatial autocorrelation using the ‘Spatially Rarefy Occurrence Data’ tool in SDMTOOLBOX. This reduced our 86 localities to 65 unique occurrence points."
"Data","Biodiversity data","Absence data","Presence-only"
"Data","Biodiversity data","Background data","Background points were sampled from a minimum convex polygon defined as a 20 km buffer drawn around the occurrence localities."
"Data","Biodiversity data","Errors and biases","It is possible that individuals from museums were misidentified individuals of Plethodon glutinosus, a species with which Plethodon kentucki is nearly morphologically indistinguishable. All samples collected by us were genetically confirmed."
"Data","Predictor variables","Predictor variables","BIO1 	Annual Mean Temperature
BIO3 	Isothermality
BIO7 	Temperature Annual Range
BIO8 	Mean Temperature of Wettest Quarter
BIO9 	Mean Temperature of Driest Quarter
BIO12 	Annual Precipitation
BIO15 	Precipitation Seasonality"
"Data","Predictor variables","Data sources","World Clim version 2.1, accessed 5/2/2024"
"Data","Predictor variables","Spatial extent","36, 39.5, -80.5, -84.5 (xmin, xmax, ymin, ymax)"
"Data","Predictor variables","Spatial resolution","30 arc-seconds/1km^2"
"Data","Predictor variables","Coordinate reference system","Geographic/WGS 84"
"Data","Predictor variables","Temporal extent","1970-2000"
"Data","Predictor variables","Temporal resolution","Monthly"
"Data","Predictor variables","Data processing","n/a"
"Data","Predictor variables","Errors and biases","n/a"
"Data","Predictor variables","Dimension reduction","We chose the finest scale available from WorldClim"
"Data","Transfer data","Spatial extent",
"Data","Transfer data","Spatial resolution",""
"Data","Transfer data","Temporal extent",""
"Data","Transfer data","Temporal resolution",""
"Model","Variable pre-selection","Variable pre-selection","We included all 19 WorldClim variables available in our test for multicollinearity."
"Model","Multicollinearity","Multicollinearity","We removed variables with a correlation coefficient < ±0.7 using the ‘Remove Highly Correlated Variables’ tool in SDMTOOLBOX v. 2.5."
"Model","Model settings","Model settings (fitting)","maxent: featureSet (lqpht), regularizationMultiplierSet (1.5), targetGroupSampleSize (908 individuals from 86 localities ), notes (65 unique occurrence points)"
"Model","Model estimates","Coefficients",""
"Model","Model estimates","Parameter uncertainty",""
"Model","Model estimates","Variable importance","Create response curves, create prediction pictures, and spatial jackkifing"
"Model","Model selection - model averaging - ensembles","Model selection","To parameterize the ENM, we evaluated the performance of various combinations of five feature classes (linear; linear, and quadratic; hinge; linear, quadratic, and hinge; and linear, quadratic, hinge, product, and threshold) and 10 regularization multipliers (from 1 to 5, in increments of 0.5) using the Maxent algorithm (Phillips et al., 2006) in the R package ‘SDMTune.’ We evaluated the performance of many ENMs built under each combination of model parameters through inspections of the omission rate, area under the curve (AUC), and model feature class complexity. We used the ENM with the lowest omission rate, highest AUC, and lowest complexity, in the order listed. The best-fit model was parameterized with linear feature class and regularization multiplier of 1.5."
"Model","Model selection - model averaging - ensembles","Model averaging","Crossvalidate setting with 20 percentage random test points"
"Model","Model selection - model averaging - ensembles","Model ensembles",""
"Model","Analysis and Correction of non-independence","Spatial autocorrelation","We removed variables with a correlation coefficient < ±0.7 using the ‘Remove Highly Correlated Variables’ tool in SDMTOOLBOX v. 2.5"
"Model","Analysis and Correction of non-independence","Temporal autocorrelation",""
"Model","Analysis and Correction of non-independence","Nested data",""
"Assessment","Performance statistics","Performance on training data","AIC; TSS; AUC"
"Assessment","Plausibility check","Response shapes","Response curves and jackknife to measure variable importance"
